Store Code	Date	Retail Week	Transaction ID	Agent Code	Customer Code	Line Item ID	Line Item Description	Quantity	Line Item Price	Line barcode	Line creation date
MB076	14/06/2020	24	138164	JP	CO0534818	CALL10	Lala Call & Collect	1	0.00	3150000019497	14/06/2020 11:33:23 AM
MB076	14/06/2020	24	138164	JP	CO0534818	LA760050199	VIS CREME JOUR J50ML/NP/GNF1ML	2	155.00	3794984532640	14/06/2020 11:33:05 AM
AJ010	14/06/2020	24	144956	CK	BU0426885	BE660042077	LIP MAESTRO 206	1	58.00	3794986379703	14/06/2020 04:24:59 PM
AJ010	14/06/2020	24	144956	CK	BU0426885	CALL30	Beauvoir Call & Collect	1	0.00	3150000019505	14/06/2020 04:25:15 PM
AJ010	15/06/2020	24	144964	CK	AH0277483	BE660016854	LIP MAESTRO 415	1	58.00	3794986379728	15/06/2020 02:37:09 PM
AJ010	15/06/2020	24	144964	CK	AH0277483	CALL30	Beauvoir Call & Collect	1	0.00	3150000019505	15/06/2020 02:36:56 PM
HM047	15/06/2020	24	166017	AS	AP0250214	BA660048063	CREME DE CORPS 250ML	1	46.00	3885204436580	15/06/2020 02:15:36 PM
MB080	15/06/2020	24	1233493	AH	BT0580340	CALL10	Lala Call & Collect	1	0.00	3150000019497	15/06/2020 02:29:40 PM
MB080	15/06/2020	24	1233493	AH	BT0580340	LA760054997	ABS EXT SERUM P/B30ML /NG	1	600.00	3785809973336	15/06/2020 02:26:37 PM
MB080	15/06/2020	24	1233493	AH	BT0580340	LA760074253	ABS CLEANSING OIL-IN-GEL T125ML	1	112.00	3794985266406	15/06/2020 02:29:15 PM
MB080	15/06/2020	24	1233493	AH	BT0580340	LA760024039	ABS EXT ELIXIR RECH  REFILL P50ML	1	465.00	3794985425984	15/06/2020 02:29:07 PM
MB080	15/06/2020	24	1233493	AH	BT0580340	LA760065485	MANUFIQUE SERUM B75ML RENO	1	215.00	3794986254697	15/06/2020 02:29:10 PM
MB080	15/06/2020	24	1233493	AH	BT0580340	LA760076139	GEN UVEX BB 50ML REPACK 2018	1	86.00	9778330889494	15/06/2020 02:29:19 PM
AJ019	16/06/2020	24	185380	WY	CS0256071	LA760059759	PC NIGHT CREAM J15ML TS	1	63.00	3794985055885	16/06/2020 02:11:13 PM
AJ019	16/06/2020	24	185380	WY	CS0256071	LA760074253	ABS CLEANSING OIL-IN-GEL T125ML	1	112.00	3794985266406	16/06/2020 02:10:32 PM
AJ019	16/06/2020	24	185380	WY	CS0256071	LA760071081	PC RICH CREAM RECH J60ML	1	425.00	3794985651619	16/06/2020 02:10:24 PM
AJ019	16/06/2020	24	185380	WY	CS0256071	LA760057503	PC ROSE ESSENCE F15ML ECH /NF	1	50.00	3794985696456	16/06/2020 02:11:28 PM
AJ019	16/06/2020	24	185380	WY	CS0256071	LA760024436	PC SERUM YEUX F/P15ML	1	220.00	3794985898823	16/06/2020 02:11:07 PM
AJ019	16/06/2020	24	185380	WY	CS0256071	LA760068333	MANUFIQUE SERUM B7ML TS RENO	1	25.00	3794986254762	16/06/2020 02:10:55 PM
AJ019	16/06/2020	24	185380	WY	CS0256071	CALL10	Lala Call & Collect	1	0.00	3150000019497	16/06/2020 02:16:17 PM
AJ019	16/06/2020	24	185381	LK	CG0238856	LA760073836	TEINT VISIONNAIRE 02 P/B30ML FF	1	94.00	3785809332187	16/06/2020 02:51:53 PM
AJ019	16/06/2020	24	185381	LK	CG0238856	LA760020624	IDOL SAMPLING CARD 1.2ML	1	0.00	3794986260903	16/06/2020 02:53:38 PM
AJ019	16/06/2020	24	185381	LK	CG0238856	CALL10	Lala Call & Collect	1	0.00	3150000019497	16/06/2020 02:53:26 PM
